word,image,kind,hint
blanket,blanket,object,a single folded cozy blanket made of soft fabric
pillow,pillow,object,a single plump bed pillow
quilt,quilt,object,a folded patchwork quilt with stitched squares
mop,mop,object,a floor cleaning mop standing upright
rag,rag,object,a single crumpled wrinkled cleaning cloth rag lying loose
fig,fig,object,one whole purple fig fruit with a small green leaf on top
lid,lid,object,a round metal pot lid seen from the side with a small knob handle
cage,cage,object,an empty round metal bird cage hanging
bib,bib,object,a baby bib garment with a neck strap
belt,belt,object,a brown leather belt coiled with a metal buckle
zip,zip,object,a metal zipper half-open on a piece of fabric
zipper,zip,object,a metal zipper half-open on a piece of fabric
whistle,whistle,object,a silver sports referee whistle
sauce,sauce,object,a small white dish of red tomato sauce
rhubarb,rhubarb,object,a bunch of fresh rhubarb stalks
fin,fin,object,a single blue fish fin
tail,tail,callout,"a whole cartoon cat standing side-on facing LEFT with its long striped tail curling up on the right, and one arrow in the empty space to the RIGHT of the tail POINTING LEFT so its tip touches the tail"
hip,hip,object,a simple friendly cartoon child standing with both hands on the hips
mud,mud,object,a small brown puddle of mud with a playful splash
pull,pull,object,two cartoon hands pulling on a thick rope
dam,dam,object,a concrete dam wall holding back blue water in a river
high,high,compare,"two identical red balloons in the sky, the hero one floating far up high near the top, the pale one down low near the bottom"
right,right,object,"one big bold arrow pointing to the RIGHT, simple chunky shape, nothing else in the picture"
new,new,compare,"two identical teddy bears, the hero one bright clean and new, the pale one old worn and patched"
ripe,ripe,compare,"two identical cherries on one stem, the hero one deep red and ripe, the pale one small and green"
my,my,compare,"two identical school backpacks, the hero one with a child's hand resting on it to show it is theirs, the pale one standing alone"
nail,nail,object,"a single metal carpentry nail lying flat, flat head and sharp point"
cape,cape,object,"a single red hero cape hanging on its own, no person wearing it"
mane,mane,callout,"a whole cartoon lion standing side-on, the arrow pointing at the fluffy MANE around its head"
elbow,elbow,callout,"a whole cartoon child's arm bent at the joint, the arrow pointing at the ELBOW"
tube,tube,object,a single squeezable toothpaste tube standing upright with its cap on
cave,cave,object,a dark rounded cave mouth in a rocky hillside
tape,tape,object,a single roll of sticky tape with the loose end peeled up
black,black,object,a big black paint splat blob with a few small black drops around it
clock,clock,object,a round green twin-bell alarm clock with a plain white face and two dark hands
club,club,object,"a small wooden clubhouse hut with a red roof, one door and one window, a blank sign board above the door"
broom,broom,object,"a wooden sweeping broom with a yellow straw brush, standing upright"
bride,bride,object,a smiling cartoon bride in an ivory lace wedding dress and veil holding a small bouquet of red flowers
crab,crab,object,a red crab with two big claws seen from the front
crocodile,crocodile,object,"a green crocodile lying side-on with an open toothy mouth, drawn friendly not scary"
flag,flag,object,a waving flag on a short pole with wide orange and light-blue stripes
globe,globe,object,"a desk world globe on a small stand, blue oceans and green continents"
frog,frog,object,a green frog sitting and facing front with big eyes
Friday,friday,object,"a small desk flip calendar page showing a plain grid of empty day squares, with one square filled solid bright red and a tiny cake drawn on it, no writing"
green,green,object,a big green paint splat blob with a few small green drops around it
grass,grass,object,a thick tuft of bright green grass blades
plate,plate,object,"a round light-grey dinner plate with a blue wavy pattern on the rim, seen from above"
play,play,object,two cartoon children sitting on the floor playing a yellow board game with a red and a green game piece
slide,slide,object,"a red playground slide with a grey ladder, seen from the side"
sleep,sleep,object,"a cartoon child asleep in a bed with a pillow and a green blanket, eyes closed"
